,num,ssim_score,ssim_array
0,40,0.999977793253584,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [0.9998723  0.99983203 0.99982405 ... 0.99991345 0.9999122  0.99991214]
 [0.99986964 0.99982864 0.9998206  ... 0.9999103  0.999909   0.9999089 ]
 [0.9998699  0.9998288  0.9998208  ... 0.99991    0.99990845 0.9999083 ]]"
0,41,0.9446365047001964,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,42,0.9567620727866196,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,43,0.9868182627473755,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,44,0.9981182287446069,"[[0.9999997 0.9999997 0.9999997 ... 1.        1.        1.       ]
 [0.9999997 0.9999997 0.9999997 ... 1.        1.        1.       ]
 [0.9999997 0.9999997 0.9999997 ... 1.        1.        1.       ]
 ...
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]]"
0,45,0.9854716383752877,"[[0.99999994 0.99999994 0.99999994 ... 1.         1.         1.        ]
 [0.99999994 0.99999994 0.99999994 ... 1.         1.         1.        ]
 [0.99999994 0.99999994 0.99999994 ... 1.         1.         1.        ]
 ...
 [0.99999946 0.9999966  0.99999446 ... 1.         1.         1.        ]
 [0.99999946 0.9999966  0.99999446 ... 1.         1.         1.        ]
 [0.99999946 0.9999966  0.99999446 ... 1.         1.         1.        ]]"
0,46,0.9990871253357481,"[[0.99832356 0.9983236  0.9985328  ... 0.9999455  0.9999433  0.99994326]
 [0.99834156 0.99833924 0.9985397  ... 0.99994546 0.99994326 0.99994314]
 [0.9985088  0.9985105  0.99868697 ... 0.9999476  0.99994576 0.9999457 ]
 ...
 [0.9999992  0.99999636 0.9999954  ... 0.99994653 0.9999458  0.9999457 ]
 [0.9999992  0.99999636 0.9999954  ... 0.9999447  0.99994385 0.99994373]
 [0.9999992  0.99999636 0.9999954  ... 0.9999443  0.99994355 0.9999434 ]]"
0,47,0.9991907453523168,"[[0.9999978  0.99999785 0.99999803 ... 0.99999994 1.         1.        ]
 [0.9999978  0.9999978  0.99999803 ... 0.99999994 1.         1.        ]
 [0.99999785 0.99999785 0.9999981  ... 0.99999994 1.         1.        ]
 ...
 [1.         1.         1.         ... 0.99952835 0.999546   0.9995555 ]
 [1.         1.         1.         ... 0.99950564 0.99952364 0.99953365]
 [1.         1.         1.         ... 0.9994947  0.9995129  0.9995228 ]]"
0,48,0.982546747515827,"[[0.9999812  0.99998033 0.99997985 ... 0.9999991  0.99999905 0.99999905]
 [0.9999811  0.9999802  0.9999794  ... 0.9999991  0.99999905 0.99999905]
 [0.9999815  0.9999805  0.9999795  ... 0.9999991  0.9999991  0.9999991 ]
 ...
 [0.99999833 0.99999684 0.9999964  ... 0.99988884 0.9998886  0.99988925]
 [0.99999833 0.9999968  0.99999636 ... 0.9998842  0.9998838  0.9998844 ]
 [0.99999833 0.9999968  0.99999636 ... 0.99988335 0.9998831  0.99988365]]"
0,49,0.9053731084024201,"[[1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 [1.        1.        1.        ... 1.        1.        1.       ]
 ...
 [1.        0.9999998 0.9999998 ... 1.        1.        1.       ]
 [1.        0.9999998 0.9999998 ... 1.        1.        1.       ]
 [1.        0.9999998 0.9999998 ... 1.        1.        1.       ]]"
